# Nodes
G1 1.03
G2 8.59
G3 19.22
G4 1.7
G5 13.78
G6 7.13
G7 8.35
G8 5.01
G9 14.24
G10 8.41
G11 2.47
G12 6.87
G13 5.13
G14 3.44
G15 16.43
G16 2.03
G17 4.81
G18 1.44
G19 11.33
G20 14.72
G21 12.92
G22 9.84
G23 10.24
G24 1.52
G25 5.74
G26 6.88
G27 6.03
G28 4.16
G29 19.92
G30 16.59
G31 19.19
G32 7.06
G33 6.13
G34 2.42
G35 6.92
G36 5.05
G37 17.51
G38 7.56
G39 4.96
G40 14.76
G41 6.97
G42 10.43
G43 18.88
G44 3.04
G45 18.04
G46 12.25
G47 3.75
G48 13.57
G49 11.87
G50 14.92
G51 16.39
G52 14.84
G53 5.91
G54 9.75
G55 2.11
G56 18.7
G57 14.01
G58 15.31
G59 16.45
G60 19.85
G61 6.64
G62 14.61
G63 16.72
G64 18.73
G65 18.75
G66 3.7
G67 16.91
G68 2.17
G69 8.89
G70 2.7
G71 15.91
G72 5.38
G73 17.89
G74 3.97
G75 8.48
G76 6.61
G77 15.42
G78 10.1
G79 1.62
G80 16.95
G81 16.42
G82 17.01
G83 16.47
G84 15.75
G85 10.35
G86 16.46
G87 6.08
G88 14.14
G89 13.46
G90 17.75
G91 19.67
G92 15.25
G93 10.38
G94 2.03
G95 5.77
G96 15.14
G97 3.04
G98 19.08
G99 9.97
G100 10.2
G101 8.3
G102 12.83
G103 11.96
G104 5.95
G105 7.27
G106 1.44
G107 15.39
G108 1.31
G109 8.99
G110 4.79
G111 13.1
G112 10.97
G113 16.71
G114 9.75
G115 19.6
G116 9.75
G117 15.31
G118 6.17
G119 2.25
G120 17.13
G121 17.83
G122 7.71
G123 14.0
G124 11.64
G125 7.72
G126 11.23
G127 14.95
G128 19.76
G129 8.33
G130 6.78
G131 8.85
G132 11.75
G133 9.1
G134 3.04
G135 15.96
G136 17.53
G137 12.98
G138 3.56
G139 2.2
G140 10.9
G141 11.52
G142 19.93
G143 13.23
G144 3.66
G145 8.91
G146 5.74
G147 10.89
G148 13.27
G149 8.81
G150 18.68
G151 5.2
G152 14.09
G153 5.2
G154 4.62
G155 8.68
G156 19.84
G157 2.96
G158 18.11
G159 18.03
G160 4.53
G161 2.81
G162 10.3
G163 18.19
G164 18.84
G165 9.77
G166 11.52
G167 12.13
G168 3.44
G169 1.92
G170 17.96
G171 10.33
G172 11.54
G173 14.78
G174 3.53
G175 16.81
G176 12.97
G177 17.08
G178 10.1
G179 14.48
G180 6.17
G181 17.48
